,d2m,t2m
2000-01-01 12:00:00,274.1259161409,278.8766136405
2000-01-02 12:00:00,272.9513924351,278.1285126178
2000-01-03 12:00:00,272.1821527322,278.3693872505
2000-01-04 12:00:00,271.2729300678,279.5019612446
2000-01-05 12:00:00,270.0370804931,278.3554906371
2000-01-06 12:00:00,270.0704097697,275.9953824571
2000-01-07 12:00:00,271.4422427927,279.4556391999
2000-01-08 12:00:00,273.6873028614,277.5112713715
2000-01-09 12:00:00,274.0405931929,277.3398798059
2000-01-10 12:00:00,273.5619847816,279.1858132892
2000-01-11 12:00:00,272.8460719212,280.7700272197
2000-01-12 12:00:00,274.5805274731,279.7544163885
2000-01-13 12:00:00,276.9775690429,278.1122999021
2000-01-14 12:00:00,275.328436439,278.1331448223
2000-01-15 12:00:00,270.7969879986,279.5726023629
2000-01-16 12:00:00,267.482724738,277.9420663877
2000-01-17 12:00:00,268.8745553269,280.0717223951
2000-01-18 12:00:00,271.7528716502,281.9859808944
2000-01-19 12:00:00,276.9282417136,281.1707129068
2000-01-20 12:00:00,275.779048258,278.7770212443
2000-01-21 12:00:00,276.0336839309,277.5633836719
2000-01-22 12:00:00,275.2564452016,276.7307449175
2000-01-23 12:00:00,275.1284607797,276.4632351091
2000-01-24 12:00:00,276.1550024975,278.695957666
2000-01-25 12:00:00,273.8819458365,277.7313010841
2000-01-26 12:00:00,275.864371206,279.1765488803
2000-01-27 12:00:00,272.5301103794,276.8755013073
2000-01-28 12:00:00,275.0644685687,278.0208138638
2000-01-29 12:00:00,263.989816555,279.7798935131
2000-01-30 12:00:00,274.9031548701,280.2593266763
2000-01-31 12:00:00,275.672394573,278.1875732249
2000-02-01 12:00:00,275.1164622401,275.7765107956
2000-02-02 12:00:00,276.3656435254,277.9026926497
2000-02-03 12:00:00,272.0341707443,278.5674139918
2000-02-04 12:00:00,270.5356864704,278.5291983049
2000-02-05 12:00:00,275.1831207932,276.9554068345
2000-02-06 12:00:00,275.628399928,277.301664119
2000-02-07 12:00:00,272.5461084322,278.5361466116
2000-02-08 12:00:00,274.7325089742,277.7266688796
2000-02-09 12:00:00,269.8264394653,276.9774098058
2000-02-10 12:00:00,270.6330079579,277.2020717228
2000-02-11 12:00:00,274.0765888116,274.7551097089
2000-02-12 12:00:00,275.757717521,278.8152369312
2000-02-13 12:00:00,273.805955086,279.602711692
2000-02-14 12:00:00,272.5181118399,278.7017479216
2000-02-15 12:00:00,269.6677921089,282.2256974759
2000-02-16 12:00:00,275.2244490961,278.881245845
2000-02-17 12:00:00,274.0832546669,276.1297163869
2000-02-18 12:00:00,266.5548376787,274.3984299643
2000-02-19 12:00:00,269.1038607496,277.5703319786
2000-02-20 12:00:00,267.7586911478,278.3566486882
2000-02-21 12:00:00,272.4247898655,279.6270307655
2000-02-22 12:00:00,272.8687358292,280.4700919799
2000-02-23 12:00:00,272.5087796424,280.4631436732
2000-02-24 12:00:00,271.8875219275,280.471250031
2000-02-25 12:00:00,272.9660573168,278.5071953336
2000-02-26 12:00:00,273.4979925706,276.2501537032
2000-02-27 12:00:00,271.7422062817,276.9241394543
2000-02-28 12:00:00,274.3672201031,278.8777716916
2000-02-29 12:00:00,276.3069839986,279.5089095514
2000-03-01 12:00:00,278.6800284893,279.7903159732
2000-03-02 12:00:00,275.8683707192,278.3288554614
2000-03-03 12:00:00,275.2071178723,281.1626065489
2000-03-04 12:00:00,276.9975666088,281.9419749518
2000-03-05 12:00:00,279.0653149263,281.7011003191
2000-03-06 12:00:00,279.594583838,283.9685644096
2000-03-07 12:00:00,279.6025828644,284.0392055279
2000-03-08 12:00:00,275.3364354654,281.5077057823
2000-03-09 12:00:00,277.5694969945,281.2714633541
2000-03-10 12:00:00,278.4213933033,280.9032030983
2000-03-11 12:00:00,278.6426996996,283.1544544732
2000-03-12 12:00:00,278.7226899633,280.5615780183
2000-03-13 12:00:00,279.8998800112,280.5245203825
2000-03-14 12:00:00,280.90242465,283.4196481794
2000-03-15 12:00:00,277.7694726539,282.9610599363
2000-03-16 12:00:00,279.2719564409,283.211198978
2000-03-17 12:00:00,276.5002938026,282.9170539938
2000-03-18 12:00:00,280.4584786863,282.5163683067
2000-03-19 12:00:00,277.5041716125,283.4995537066
2000-03-20 12:00:00,278.1414273802,284.5302192022
2000-03-21 12:00:00,277.7188121535,284.2488127804
2000-03-22 12:00:00,277.3241935191,282.752610735
2000-03-23 12:00:00,281.2437164419,282.1446338976
2000-03-24 12:00:00,276.0963429708,281.124390862
2000-03-25 12:00:00,275.2977735045,283.9071877004
2000-03-26 12:00:00,275.3617657155,284.9679625251
2000-03-27 12:00:00,278.2774108286,284.898479458
2000-03-28 12:00:00,277.7814711934,284.6309696496
2000-03-29 12:00:00,281.4610233251,286.2672958804
2000-03-30 12:00:00,280.6064606742,286.2533992669
2000-03-31 12:00:00,281.9942917499,289.1693719839
2000-04-01 12:00:00,280.9037578211,289.1774783418
2000-04-02 12:00:00,281.672997524,288.7837409614
2000-04-03 12:00:00,281.8009819459,288.3934777344
2000-04-04 12:00:00,279.4532677054,288.116703517
2000-04-05 12:00:00,277.8187999832,287.9256250824
2000-04-06 12:00:00,279.4332701395,289.325708885
2000-04-07 12:00:00,280.0998556706,289.0269316963
2000-04-08 12:00:00,278.4560557509,289.8560962974
2000-04-09 12:00:00,277.7534746011,288.2568277024
2000-04-10 12:00:00,279.8678839058,286.5579667112
2000-04-11 12:00:00,281.2223857049,288.7351028144
2000-04-12 12:00:00,283.067494455,287.9140445712
2000-04-13 12:00:00,284.8406119677,288.4907540284
2000-04-14 12:00:00,285.403210156,287.4114503857
2000-04-15 12:00:00,284.3446723326,286.8845371267
2000-04-16 12:00:00,283.4834438264,287.4137664879
2000-04-17 12:00:00,284.3686694117,287.4624046349
2000-04-18 12:00:00,285.3592155109,288.1097552103
2000-04-19 12:00:00,285.532527749,288.3425234852
2000-04-20 12:00:00,284.2993445165,288.2116637087
2000-04-21 12:00:00,282.8208578085,288.2741984692
2000-04-22 12:00:00,281.0557393222,288.1630255618
2000-04-23 12:00:00,283.1941457059,287.3628122387
2000-04-24 12:00:00,282.9115134407,285.7114313434
2000-04-25 12:00:00,282.8795173352,285.249368947
2000-04-26 12:00:00,285.1512408252,287.7646559769
2000-04-27 12:00:00,283.6514233803,286.9412816315
2000-04-28 12:00:00,283.4914428528,288.2649340602
2000-04-29 12:00:00,281.4196950221,288.2603018557
2000-04-30 12:00:00,280.1171868944,289.2735965846
2000-05-01 12:00:00,282.230263028,289.0547249232
2000-05-02 12:00:00,285.4285404062,288.7478413767
2000-05-03 12:00:00,284.825947086,290.7257926875
2000-05-04 12:00:00,288.2308659789,288.9169168401
2000-05-05 12:00:00,287.8615775947,288.4560124948
2000-05-06 12:00:00,283.8727297766,285.1601990108
2000-05-07 12:00:00,283.9060590531,287.5064105774
2000-05-08 12:00:00,287.2029910899,289.521419524
2000-05-09 12:00:00,286.3590938076,289.8699929108
2000-05-10 12:00:00,288.4361743225,291.3013440936
2000-05-11 12:00:00,289.0814291166,293.207496235
2000-05-12 12:00:00,288.2242001236,292.9515669378
2000-05-13 12:00:00,288.9454456682,290.5393464574
2000-05-14 12:00:00,288.3308538086,292.9098770975
2000-05-15 12:00:00,290.3452752835,291.8294154037
2000-05-16 12:00:00,288.7947973382,289.8074581504
2000-05-17 12:00:00,288.4161767565,289.9672692048
2000-05-18 12:00:00,286.5950650856,290.271836649
2000-05-19 12:00:00,289.5013780012,292.2335752441
2000-05-20 12:00:00,289.733349766,290.388799812
2000-05-21 12:00:00,289.5373736198,290.7825371924
2000-05-22 12:00:00,290.5745807062,291.6012793333
2000-05-23 12:00:00,290.3626065073,291.0558372564
2000-05-24 12:00:00,290.3292772308,291.3997784386
2000-05-25 12:00:00,291.663781464,293.2306572574
2000-05-26 12:00:00,288.2495303738,289.4959423994
2000-05-27 12:00:00,289.4213877374,290.2683624956
2000-05-28 12:00:00,288.4535055463,289.5191034218
2000-05-29 12:00:00,289.4893794616,290.388799812
2000-05-30 12:00:00,290.9718656828,291.1623779593
2000-05-31 12:00:00,289.756013674,290.408486681
2000-06-01 12:00:00,290.1892942693,292.3991765541
2000-06-02 12:00:00,291.0918510784,292.4003346052
2000-06-03 12:00:00,289.9013293198,291.7691967455
2000-06-04 12:00:00,289.2747389206,292.4211795254
2000-06-05 12:00:00,288.7747997723,291.2874474801
2000-06-06 12:00:00,288.4001787038,289.5353161375
2000-06-07 12:00:00,289.1587530382,289.9649531025
2000-06-08 12:00:00,287.5776121584,288.1062810569
2000-06-09 12:00:00,287.8829083317,289.2654902268
2000-06-10 12:00:00,289.8053410033,291.7796192056
2000-06-11 12:00:00,289.1427549854,292.8508164904
2000-06-12 12:00:00,291.3518194355,293.4483708677
2000-06-13 12:00:00,290.3946026128,292.7651207077
2000-06-14 12:00:00,290.3372762572,291.7194005474
2000-06-15 12:00:00,288.2441976895,288.2440891401
2000-06-16 12:00:00,288.4521723752,292.8670292061
2000-06-17 12:00:00,289.3493965001,291.6221242534
2000-06-18 12:00:00,289.798675148,291.0639436142
2000-06-19 12:00:00,290.4412636,292.1965176083
2000-06-20 12:00:00,290.9478686036,292.8276554681
2000-06-21 12:00:00,290.8665451688,291.8062543813
2000-06-22 12:00:00,288.3988455327,289.3905597476
2000-06-23 12:00:00,290.2492869671,291.6232823046
2000-06-24 12:00:00,289.369394066,291.3245051159
2000-06-25 12:00:00,290.7532256286,292.0424968096
2000-06-26 12:00:00,289.518709225,290.3656387896
2000-06-27 12:00:00,290.2359552564,290.3725870963
2000-06-28 12:00:00,288.9734422605,289.5353161375
2000-06-29 12:00:00,289.5173760539,292.0378646051
2000-06-30 12:00:00,290.6879002465,292.4316019855
2000-07-01 12:00:00,291.7970985703,293.5155378326
2000-07-02 12:00:00,290.3719387048,291.4507326879
2000-07-03 12:00:00,290.2586191645,293.1507517302
2000-07-04 12:00:00,290.9465354326,293.3487784715
2000-07-05 12:00:00,291.8304278468,293.3545687271
2000-07-06 12:00:00,290.9372032351,291.7437196209
2000-07-07 12:00:00,288.6254846133,290.4026964254
2000-07-08 12:00:00,290.6079099828,291.5225318572
2000-07-09 12:00:00,291.0905179073,292.8936643818
2000-07-10 12:00:00,291.0678539992,292.1965176083
2000-07-11 12:00:00,289.6026990019,293.0928491743
2000-07-12 12:00:00,288.7414704957,291.5781183109
2000-07-13 12:00:00,290.5425846007,291.5989632311
2000-07-14 12:00:00,291.0931842494,292.2370493975
2000-07-15 12:00:00,290.569248022,292.0448129118
2000-07-16 12:00:00,290.3172786912,292.8195491102
2000-07-17 12:00:00,289.8666668722,292.5647778641
2000-07-18 12:00:00,290.7025651282,292.5103494615
2000-07-19 12:00:00,290.8545466293,292.719956714
2000-07-20 12:00:00,290.1293015715,291.5873827199
2000-07-21 12:00:00,288.5428280074,289.7680844123
2000-07-22 12:00:00,289.4520506719,292.7477499409
2000-07-23 12:00:00,289.2120798807,292.4848723369
2000-07-24 12:00:00,290.4932572714,291.4240975121
2000-07-25 12:00:00,290.3052801517,292.6041516021
2000-07-26 12:00:00,289.5320409356,291.8768954996
2000-07-27 12:00:00,290.7825553919,292.1490375125
2000-07-28 12:00:00,292.0997284014,293.4298420498
2000-07-29 12:00:00,291.6131209637,291.9290077999
2000-07-30 12:00:00,290.4239323762,290.9423482467
2000-07-31 12:00:00,290.3439421125,291.3418758827
2000-08-01 12:00:00,289.1534203539,289.3187605783
2000-08-02 12:00:00,291.0745198546,292.5196138705
2000-08-03 12:00:00,289.0880949719,291.2110161063
2000-08-04 12:00:00,290.7145636678,293.1333809634
2000-08-05 12:00:00,291.8584244391,293.1438034235
2000-08-06 12:00:00,291.083852052,292.5416168417
2000-08-07 12:00:00,291.5384633842,293.7807315388
2000-08-08 12:00:00,289.6733570682,290.4050125276
