Year,Month,Q(m3/s),,,,,,,,,,
1949,1,2341,,,,,,,,,,
1949,2,3183,,,,,,,,,,
1949,3,4283,,,,,,,,,,
1949,4,6336,,,,,,,,,,
1949,5,13814,,,,,,,,,,
1949,6,11572,,,,,,,,,,
1949,7,5426,,,,,,,,,,
1949,8,3601,,,,,,,,,,
1949,9,2687,,,,,,,,,,
1949,10,2449,,,,,,,,,,
1949,11,2476,,,,,,,,,,
1949,12,2824,,,,,,,,,,
1950,1,2770,,,,,,,,,,
1950,2,3625,,,,,,,,,,
1950,3,4560,,,,,,,,,,
1950,4,6083,,,,,,,,,,
1950,5,9460,,,,,,,,,,
1950,6,16791,,,,,,,,,,
1950,7,13796,,,,,,,,,,
1950,8,5437,,,,,,,,,,
1950,9,3411,,,,,,,,,,
1950,10,3090,,,,,,,,,,
1950,11,3804,,,,,,,,,,
1950,12,4031,,,,,,,,,,
1951,1,4381,,,,,,,,,,
1951,2,5530,,,,,,,,,,
1951,3,4709,,,,,,,,,,
1951,4,7168,,,,,,,,,,
1951,5,13264,,,,,,,,,,
1951,6,12982,,,,,,,,,,
1951,7,9765,,,,,,,,,,
1951,8,5080,,,,,,,,,,
1951,9,3106,,,,,,,,,,
1951,10,3449,,,,,,,,,,
1951,11,3162,,,,,,,,,,
1951,12,3271,,,,,,,,,,
1952,1,3376,,,,,,,,,,
1952,2,3716,,,,,,,,,,
1952,3,4203,,,,,,,,,,
1952,4,7216,,,,,,,,,,
1952,5,13145,,,,,,,,,,
1952,6,11504,,,,,,,,,, 
1952,7,7508,,,,,,,,,, 
1952,8,4024,,,,,,,,,,
1952,9,2719,,,,,,,,,,
1952,10,2435,,,,,,,,,,
1952,11,2403,,,,,,,,,,
1952,12,2287,,,,,,,,,,
1953,1,3178,,,,,,,,,,
1953,2,3959,,,,,,,,,,
1953,3,3896,,,,,,,,,,
1953,4,4411,,,,,,,,,,
1953,5,7135,,,,,,,,,,
1953,6,14440,,,,,,,,,,
1953,7,9064,,,,,,,,,,
1953,8,4402,,,,,,,,,,
1953,9,3363,,,,,,,,,,
1953,10,2856,,,,,,,,,,
1953,11,2896,,,,,,,,,,
1953,12,2943,,,,,,,,,,
1954,1,3183,,,,,,,,,,
1954,2,3531,,,,,,,,,,
1954,3,3734,,,,,,,,,,
1954,4,4505,,,,,,,,,,
1954,5,10665,,,,,,,,,,
1954,6,14238,,,,,,,,,,
1954,7,11935,,,,,,,,,,
1954,8,6099,,,,,,,,,,
1954,9,4303,,,,,,,,,,
1954,10,3104,,,,,,,,,,
1954,11,3194,,,,,,,,,,
1954,12,2923,,,,,,,,,,
1955,1,2893,,,,,,,,,,
1955,2,3071,,,,,,,,,,
1955,3,3360,,,,,,,,,,
1955,4,4036,,,,,,,,,,
1955,5,5680,,,,,,,,,,
1955,6,12689,,,,,,,,,,
1955,7,11424,,,,,,,,,,
1955,8,5133,,,,,,,,,,
1955,9,3213,,,,,,,,,,
1955,10,2926,,,,,,,,,,
1955,11,3534,,,,,,,,,,
1955,12,4331,,,,,,,,,,
1956,1,4359,,,,,,,,,,
1956,2,3660,,,,,,,,,,
1956,3,4753,,,,,,,,,,
1956,4,9628,,,,,,,,,,
1956,5,15010,,,,,,,,,,
1956,6,18100,,,,,,,,,,
1956,7,8667,,,,,,,,,,
1956,8,4494,,,,,,,,,,
