Year,Month,Q(m3/s),,,,,,,,,,
1949,1,2341.0,,,,,,,,,,
1949,2,3183.0,,,,,,,,,,
1949,3,4283.0,,,,,,,,,,
1949,4,6336.0,,,,,,,,,,
1949,5,13814.0,,,,,,,,,,
1949,6,11572.0,,,,,,,,,,
1949,7,5426.0,,,,,,,,,,
1949,8,3601.0,,,,,,,,,,
1949,9,2687.0,,,,,,,,,,
1949,10,2449.0,,,,,,,,,,
1949,11,2476.0,,,,,,,,,,
1949,12,2824.0,,,,,,,,,,
1950,1,2770.0,,,,,,,,,,
1950,2,3625.0,,,,,,,,,,
1950,3,4560.0,,,,,,,,,,
1950,4,6083.0,,,,,,,,,,
1950,5,9460.0,,,,,,,,,,
1950,6,16791.0,,,,,,,,,,
1950,7,13796.0,,,,,,,,,,
1950,8,5437.0,,,,,,,,,,
1950,9,3411.0,,,,,,,,,,
1950,10,3090.0,,,,,,,,,,
1950,11,3804.0,,,,,,,,,,
1950,12,4031.0,,,,,,,,,,
1951,1,4381.0,,,,,,,,,,
1951,2,5530.0,,,,,,,,,,
1951,3,4709.0,,,,,,,,,,
1951,4,7168.0,,,,,,,,,,
1951,5,13264.0,,,,,,,,,,
1951,6,12982.0,,,,,,,,,,
1951,7,9765.0,,,,,,,,,,
1951,8,5080.0,,,,,,,,,,
1951,9,3106.0,,,,,,,,,,
1951,10,3449.0,,,,,,,,,,
1951,11,3162.0,,,,,,,,,,
1951,12,3271.0,,,,,,,,,,
1952,1,3376.0,,,,,,,,,,
1952,2,3716.0,,,,,,,,,,
1952,3,4203.0,,,,,,,,,,
1952,4,7216.0,,,,,,,,,,
1952,5,13145.0,,,,,,,,,,
1952,6,11504.0,,,,,,,,,, 
1952,7,7508.0,,,,,,,,,, 
1952,8,4024.0,,,,,,,,,,
1952,9,2719.0,,,,,,,,,,
1952,10,2435.0,,,,,,,,,,
1952,11,2403.0,,,,,,,,,,
1952,12,2287.0,,,,,,,,,,
1953,1,3178.0,,,,,,,,,,
1953,2,3959.0,,,,,,,,,,
1953,3,3896.0,,,,,,,,,,
1953,4,4411.0,,,,,,,,,,
1953,5,7135.0,,,,,,,,,,
1953,6,14440.0,,,,,,,,,,
1953,7,9064.0,,,,,,,,,,
1953,8,4402.0,,,,,,,,,,
1953,9,3363.0,,,,,,,,,,
1953,10,2856.0,,,,,,,,,,
1953,11,2896.0,,,,,,,,,,
1953,12,2943.0,,,,,,,,,,
1954,1,3183.0,,,,,,,,,,
