YEAR	T	Q(M3/S) 
1940	1	398
1941	2	429.1
1942	3	690.2
1943	4	437.3
1944	5	567.4
1945	6	460.5
1946	7	288.6
1947	8	329.7
1948	9	489.8
1949	10	485.9
1950	11	521
1951	12	564.1
1952	13	491.2
1953	14	438.3
1954	15	369.4
1955	16	523.5
1956	17	549.6
1957	18	777.7
1958	19	832.8
1959	20	594.9
1960	21	696
1961	22	764.1
1962	23	731.2
1963	24	715.3
1964	25	617.4
1965	26	628.5
1966	27	577.6
1967	28	518.7
1968	29	511.8
1969	30	611.9
1970	31	455
1971	32	523.1
1972	33	483.2
1973	34	417.3
1974	35	440.4
1975	36	354.5
1976	37	423.6
1977	38	354.7
1978	39	439.8
1979	40	544.9
1980	41	448
1981	42	594.1
1982	43	493.2
1983	44	537.3
1984	45	757.4
1985	46	580.5
1986	47	700.6
1987	48	739.7
1988	49	729.8
1989	50	484.9
1990	51	742
