year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
1981	32	26	62	22	23	98	80	163	13	122	144	109
1982	42	30	54	50	192	37	52	77	48	46	74	52
1983	78	10	107	46	36	105	80	25	188	58	36	78
1984	72	29	34	11	29	97	67	51	145	114	51	51
1985	83	37	42	69	23	25	104	50	76	53	74	63
1986	50	12	69	51	77	39	121	234	56	45	54	89
1987	23	28	22	4	55	77	92	122	65	34	54	24
1988	72	64	40	37	41	51	106	173	36	69	38	66
1989	9	28	51	55	38	42	11	68	23	74	55	59
1990	74	79	56	46	30	25	128	42	153	79	60	42
1991	59	29	41	24	78	142	54	124	71	27	47	37
